id,category,question,answer
1256,Fundamental Principles,"In a plug-flow reactor (PFR), how does concentration vary spatially?",Axial concentration gradient
1257,Mathematics,"What is the ""limiting nutrient"" concept in aquatic ecosystems?",Growth-limiting nutrient
1258,Water & Wastewater,"What does the ""sludge volume index"" (SVI) measure?",Settling characteristics of sludge
1259,Fundamental Principles,"In a hydrologic water budget, what does the term ΔS represent?",The change in water storage within the control volume
1260,Surface Water Resources & Hydrology,What is the definition of a “unit hydrograph”?,The direct runoff hydrograph resulting from one unit depth of excess rainfall over the watershed
1261,Surface Water Resources & Hydrology,How does increasing urbanization typically affect the peak discharge of a storm hydrograph?,It increases peak discharge and shortens time to peak
1262,Surface Water Resources & Hydrology,What is the primary source of “baseflow” in a stream hydrograph?,Groundwater inflow or release from subsurface storage
1263,Surface Water Resources & Hydrology,What does the area under a runoff hydrograph curve represent?,The total volume of direct runoff produced by the storm
1264,Surface Water Resources & Hydrology,"In the context of the hydrological cycle, what is a watershed divide?",The topographic boundary separating adjacent drainage basins
1265,Probability & Statistics,What does a “100-year flood” indicate regarding probability?,A 1% probability of being equaled or exceeded in any given year
1266,Surface Water Resources & Hydrology,What is the time of concentration for a watershed?,The time required for runoff to travel from the hydraulically most remote point to the outlet
1267,Health Hazards & Risk Assessment,What is the vadose zone in subsurface hydrology?,The unsaturated zone above the water table
1268,Fundamental Principles,"In groundwater hydrology, what is the cone of depression?",The drawdown of the water table or piezometric surface around a pumping well
1269,Fundamental Principles,What is the primary purpose of a bar rack or screen in a wastewater treatment plant?,To remove large debris and protect downstream equipment
1270,Fundamental Principles,What is the main function of a grit chamber?,To remove heavy inorganic solids such as sand and gravel
1271,Water & Wastewater,"In primary sedimentation, what type of solids are targeted for removal?",Settleable organic and inorganic suspended solids
1272,Water & Wastewater,What is mixed liquor in the activated sludge process?,The mixture of wastewater and active microorganisms in the aeration tank
1273,Fundamental Principles,What does the Food-to-Microorganism (F/M) ratio control in biological treatment?,The ratio of organic loading to the amount of biomass
1274,Fluid Mechanics & Hydraulics,Why is return activated sludge (RAS) pumped back to the aeration tank?,To maintain an adequate microbial population for treatment
1275,Water & Wastewater,What is the primary mechanism of pollutant removal in a trickling filter?,Biological oxidation by biofilm attached to the media
1276,Probability & Statistics,What happens to the Mean Cell Residence Time (MCRT) if sludge wasting is increased?,The MCRT decreases
1277,Water & Wastewater,What is the main byproduct of anaerobic sludge digestion?,Methane and carbon dioxide
1278,Fundamental Principles,What is the purpose of flow equalization in a wastewater facility?,To dampen variations in flow and organic loading
1279,Fundamental Principles,"In a mass balance analysis, what defines a steady-state condition?",Zero accumulation within the system
1280,Fundamental Principles,What characterizes a conservative pollutant?,"A substance that does not react, decay, or degrade"
1281,Fundamental Principles,What does Henry’s Law describe in environmental chemistry?,The equilibrium distribution of a gas between air and water
1282,Water & Wastewater,What does alkalinity measure in an aqueous system?,The water’s acid-neutralizing capacity
1283,Water & Wastewater,What two cations are primarily responsible for water hardness?,Calcium and magnesium
1284,Environmental Chemistry,"In a redox reaction, what happens to the electron donor?",It loses electrons (is oxidized)
1285,Fundamental Principles,What is a buffer solution?,A solution that resists changes in pH
1286,Environmental Chemistry,What is the difference between molarity and normality?,Molarity is moles per liter; normality is equivalents per liter
1287,Fundamental Principles,What does a partition coefficient (Koc) describe?,The ratio of a chemical sorbed to organic carbon relative to that dissolved in water
1288,Fundamental Principles,What is the critical point on a dissolved oxygen sag curve?,The location of minimum dissolved oxygen concentration downstream
1289,Fluid Mechanics & Hydraulics,"In the Bernoulli equation, what are the three components of total energy head?","Pressure head, elevation head, and velocity head"
1290,Energy & Environment,What distinguishes the Energy Grade Line (EGL) from the Hydraulic Grade Line (HGL)?,EGL includes velocity head; HGL does not
1291,Fluid Mechanics & Hydraulics,What causes major losses in pipe flow?,Friction between the fluid and pipe walls
1292,Fluid Mechanics & Hydraulics,"What does a Reynolds number less than 2,000 indicate in pipe flow?",Laminar flow
1293,Fundamental Principles,What occurs when the local pressure in a fluid drops below its vapor pressure?,Cavitation
1294,Fluid Mechanics & Hydraulics,What is the condition for critical flow in an open channel?,When the Froude number equals 1.0
1295,Fundamental Principles,What is the wetted perimeter of a channel?,The length of the channel boundary in contact with water
1296,Fundamental Principles,What does the no-slip condition imply at a solid boundary?,Fluid velocity is zero relative to the boundary
1297,Fundamental Principles,How does cross-sectional area affect fluid velocity in steady flow?,Velocity is inversely proportional to cross-sectional area
1298,Fundamental Principles,What is the difference between static pressure and dynamic pressure?,Static pressure exists at rest; dynamic pressure is due to motion
1299,Probability & Statistics,What is the definition of porosity in a soil sample?,The ratio of void volume to total volume
1300,Fundamental Principles,What is the retardation factor in groundwater contaminant transport?,The ratio of groundwater velocity to contaminant velocity due to sorption
1301,Water & Wastewater,What is the difference between coagulation and flocculation?,Coagulation neutralizes charges; flocculation aggregates particles
1302,Water & Wastewater,What is the primary mechanism of disinfection using chlorine?,Oxidation and inactivation of microorganisms
1303,Water & Wastewater,What is short-circuiting in a sedimentation tank?,Premature flow bypassing due to poor mixing
1304,Mathematics,What is the limiting nutrient concept in aquatic ecosystems?,Growth controlled by the nutrient in shortest supply
1305,Groundwater/Soils/Sediments,What distinguishes an unconfined aquifer from a confined aquifer?,An unconfined aquifer has a water table; a confined aquifer does not
